Word,SpamMessages,RealMessages
need,2.0,0.0
guide,1.0,0.0
kim,1.0,0.0
viagraprice bestsellers,2.0,0.0
well well,2.0,0.0
chance,1.0,0.0
leaked,1.0,0.0
sweetheart my,2.0,0.0
time,0.0,1.0
horny and,1.0,0.0
laws,2.0,0.0
viagra pills,1.0,0.0
have you,1.0,0.0
01 viagra,1.0,0.0
video,1.0,0.0
told,2.0,0.0
expire may,0.0,1.0
1,1.0,0.0
pills pain,1.0,0.0
course your,0.0,1.0
quality,2.0,0.0
my well,2.0,0.0
laws gun,2.0,0.0
pills,1.0,0.0
discovery,1.0,0.0
congratulations reminder,0.0,1.0
my sweetheart,2.0,0.0
to today,0.0,1.0
horny,1.0,0.0
made,1.0,0.0
recently tan,1.0,0.0
use,1.0,0.0
sweetheart,2.0,0.0
mrs by,2.0,0.0
mrs,2.0,0.0
document,0.0,1.0
in milfs,1.0,0.0
prices discount,2.0,0.0
nathan,2.0,0.0
best,1.0,0.0
your finishing,0.0,1.0
dating,1.0,0.0
kardashian,1.0,0.0
a chance,1.0,0.0
dr,1.0,0.0
are city,1.0,0.0
may,0.0,1.0
a,2.0,1.0
atm your,1.0,0.0
medium,1.0,0.0
electronic,0.0,1.0
i,5.0,0.0
tan david,1.0,0.0
take to,2.0,0.0
your fund,2.0,0.0
developer,0.0,1.0
account your,2.0,0.0
ios your,0.0,1.0
kardashian kim,1.0,0.0
milfs looking,1.0,0.0
to,6.5,0.5
wwwspacevwebru,1.0,0.0
felicia,2.0,0.0
your in,1.0,0.0
drugs quality,2.0,0.0
by,3.0,0.0
dear,0.0,1.0
step a,1.0,0.0
home came,1.0,0.0
has,1.0,1.0
enterprise to,1.0,0.0
transcript electronic,0.0,1.0
march,1.0,0.0
by step,1.0,0.0
071 viagraprice,2.0,0.0
made recently,1.0,0.0
felicia mrs,2.0,0.0
bf,2.0,0.0
membership program,0.0,1.0
card,1.0,0.0
discount at,2.0,0.0
you contact,2.0,0.0
selfies,1.0,0.0
get,2.0,0.0
ios,0.0,1.0
as nathan,2.0,0.0
friend my,1.0,0.0
when honey,1.0,0.0
posting,1.0,0.0
dumped bf,2.0,0.0
and,3.0,0.0
selfies posting,1.0,0.0
that,1.0,0.0
inform,1.0,0.0
to transcript,0.0,1.0
pain bestsellers,1.0,0.0
our in,1.0,0.0
71,1.0,0.0
in 500000000usd,1.0,0.0
bf my,2.0,0.0
mobile,1.0,0.0
posting are,1.0,0.0
song,1.0,0.0
trade,2.0,0.0
contact to,2.0,0.0
membership,0.0,1.0
looking best,1.0,0.0
