Word,SpamMessages,RealMessages
pharmacy,2,0
kaplan,0,1
myspace,1,0
of,0,1
megan,2,0
skycure,1,0
research kaplan,0,1
milikowsky brina,1,0
inc,2,0
brina,1,0
system desire,1,0
milikows briana,1,0
southern of,0,1
top8,1,0
inc protraders,2,0
finance yahoo,1,0
california,0,1
george megan,2,0
milikowsky,1,0
milikows,1,0
discount,1,0
system,1,0
benefits with,1,0
pharmacy discount,1,0
dating ,1,0
apple,0,1
r frank,1,0
expresspharmacy,2,0
top8 myspace,1,0
frank,1,0
california southern,0,1
frank envoy,1,0
online,2,0
southern,0,1
discount online,1,0
dating,1,0
durma,1,0
yahoo,1,0
with dating,1,0
with,1,0
university,0,1
localblackmilfs,1,0
envoy,1,0
desire,1,0
of university,0,1
pharmacy online,2,0
research,0,1
newfckbuddy,2,0
george,2,0
r,1,0
durma r,1,0
briana,1,0
developer,0,1
protraders,2,0
finance,1,0
benefits,1,0
developer apple,0,1
