Word,SpamMessages,RealMessages
and two,0,1
ship to,0,1
sweetheart,1,0
waiting to,1,0
awful,1,0
your,6,13
via,0,1
these,1,0
releases awful,1,0
just the,0,1
sono is,0,1
because,1,0
it down,0,1
parkway the,0,1
click,0,2
trade really,1,0
studio one,0,1
step please,0,1
as for,0,1
to i,0,1
one and,0,1
restaurants,0,1
charged,0,1
email so,0,1
much,0,2
atm card,1,0
want to,1,0
interest in,0,1
of 999,0,1
licks,0,1
song for,1,0
after,2,0
close,0,1
exciting tournament,1,0
a,3,9
address,1,1
e,0,1
email issues,0,1
i,5,2
me dicaments,1,0
of a,0,1
the,3,28
weird,0,1
s,0,3
t,0,1
exciting,1,0
thank,0,2
paid to,1,0
federal reserve,1,0
excited to,0,1
regards your,1,0
of thousands,0,1
got,2,1
are excited,0,1
couldn,0,1
department united,1,0
thanks so,0,1
via ups,0,1
nathan,1,0
fitness,0,1
premium subscription,0,1
intersection,0,1
ship or,0,1
changes that,0,1
add,0,1
per month,0,1
only available,1,0
need,2,2
automatically be,0,1
european,0,1
order from,0,1
below we,0,1
awful love,1,0
this e,0,1
countertops,0,1
ll be,0,1
s always,0,1
united,1,0
secret products,1,0
got thousands,0,1
kardashian,1,0
medium,1,0
guitarists,0,1
dumped me,1,0
are only,1,0
benjamin,0,2
you think,0,1
european countertops,0,1
sorry,0,1
was just,0,1
end,0,1
dumped,1,0
tuners it,0,1
mistake,0,1
roof,0,1
item number,0,1
rich,0,1
on line,2,0
went out,0,1
ups ups,0,1
the studio,0,1
room,0,1
a sound,0,1
with,0,2
nathan as,1,0
products are,1,0
kanye,1,0
is ready,1,0
there,1,1
well,2,0
to your,0,1
know with,0,1
too just,0,1
told,1,0
stainless steel,0,1
culture iron,0,1
my bf,1,0
number,0,1
have joined,0,1
hear about,0,1
please let,0,1
in and,0,1
we ship,0,1
per,0,1
order,0,7
went,0,1
for your,0,2
sound cloud,0,2
wives,1,0
milfs,1,0
thousands,1,2
city are,1,0
sono the,0,1
mile to,0,1
schools,1,0
on the,0,2
roof top,0,1
card is,1,0
gives you,0,1
inform you,1,0
city,1,0
bestsellers,1,0
so please,0,1
about the,0,1
top,1,1
too,0,1
have,0,1
viagra,1,0
location you,0,1
the art,0,1
drugs,1,0
norwalk sono,0,1
the free,0,1
removed it,0,1
wives need,1,0
order 2i995,0,1
removed,0,1
future,0,1
commerce we,0,1
signing,0,2
com,1,1
naked,1,0
link if,0,1
trial,0,2
choices for,0,1
your city,1,0
west,1,0
your receipt,0,1
these lonely,1,0
of sizzling,0,1
so much,0,1
re enjoying,0,1
heart of,0,1
always,0,1
all,0,1
new,0,2
including,0,1
below,0,3
is easy,0,1
us know,0,1
end of,0,1
applicable,0,1
that you,0,1
if this,0,1
it is,0,1
as soono,0,1
an exhaustive,1,0
friends at,0,1
your interest,0,1
media,0,1
line search,2,0
by mrs,1,0
marketplace seller,0,1
and,0,12
dear friend,2,0
department,1,0
says,0,1
friend because,1,0
appreciated as,0,1
an extensive,1,0
buttons,0,1
item shown,0,1
the best,1,0
selfies,1,0
any,0,1
industrial,0,1
sono stands,0,1
you for,0,2
s your,0,1
and log,0,1
not listed,0,1
industrial history,0,1
bestsellers viagra,1,0
center media,0,1
walk,0,1
i 95,0,1
ship,0,4
payment card,0,1
fairfield,0,1
update you,0,1
customer email,1,0
your atm,1,0
can track,0,1
as your,0,1
you have,0,1
click to,0,1
quickly if,0,1
let,0,3
state,0,1
be charged,0,1
and people,0,1
using,0,1
want,1,1
is in,0,1
are thousands,1,0
want with,0,1
wanted,0,1
if the,0,1
because their,1,0
choices,0,1
items,0,1
easy too,0,1
sweetheart my,1,0
ready to,0,1
a rich,0,1
are posting,1,0
appliances,0,1
automatically,0,1
inspiring,0,1
chase,1,0
and just,0,1
two,0,2
in your,1,0
are,3,2
as regards,1,0
taken,0,1
gives,0,1
kids,0,1
think,0,1
receive,0,1
art,0,1
taken right,0,1
down as,0,1
a fck,1,0
having weird,0,1
lonely wives,1,0
walk from,0,1
watch,0,1
top deck,0,1
two restaurants,0,1
price 071,1,0
address com,1,0
with a,0,1
of of,0,1
the secret,1,0
quality drugs,1,0
signing up,0,2
atm,1,0
has,0,2
newest,0,1
both adults,0,1
exhaustive on,1,0
for signing,0,2
final step,0,1
drugs at,1,0
ship date,0,1
we ll,1,1
hey thanks,0,2
fairfield county,0,1
order is,0,3
chase me,1,0
hallo,1,0
viagra price,1,0
the location,0,1
receipt,0,1
listed below,0,1
stands at,0,1
page,0,1
next,0,1
two bedroom,0,1
and european,0,1
looking milfs,1,0
discount prices,1,0
norwalk,0,1
yesterday,0,1
not,0,2
at bn,0,1
and you,0,1
watch for,0,1
the planet,0,1
second email,0,1
e mail,0,1
has confirmed,0,1
my sweetheart,1,0
ironworks sono,0,1
think this,0,1
will automatically,0,1
member of,0,1
center,0,1
please take,0,1
was,1,5
to let,0,1
water views,0,1
titles,0,1
95 and,0,1
httpwesternmoney co,1,0
lifestyle,0,1
love song,1,0
fund,1,0
paid,1,0
short,0,1
time,0,1
luxury development,0,1
studio,0,1
parking,0,1
get paid,1,0
quickly,0,1
sono gives,0,1
taxes,0,1
071,1,0
pur,1,0
issues,0,1
and couldn,0,1
short walk,0,1
merritt,0,1
put,0,1
t put,0,1
dear benjamin,0,2
was told,1,0
bf dumped,1,0
know you,0,1
payment,0,1
located in,0,1
lonely,1,0
hey,0,3
or ready,0,1
item,0,2
having,0,1
subscription fee,0,1
stainless,0,1
receipt at,0,1
after an,2,0
any time,0,1
you by,1,0
provide,0,1
metro,0,1
the ranks,0,1
ladies,1,0
was having,0,1
2i995 was,0,1
card,1,1
apartments,0,1
need to,0,1
from the,0,1
log,0,2
