Word,SpamMessages,RealMessages
pharmacy,1.0,0.0
wife personal,1.0,0.0
worlds largest,1.0,0.0
myspace,1.0,0.0
university of,0.0,5.0
suge knight,1.0,0.0
course,0.0,1.0
of,0.0,6.0
free,1.0,0.0
megan,1.0,0.0
the university,0.0,1.0
apple developer,0.0,2.0
personal affairs,1.0,0.0
thoughts,0.0,1.0
million,1.0,0.0
bank account,1.0,0.0
dunhill,1.0,0.0
national,0.0,1.0
california,0.0,4.0
thoughts about,0.0,1.0
did,1.0,0.0
your course,0.0,1.0
suge,1.0,0.0
stubhub,0.0,1.0
largest,1.0,0.0
envoy frank,1.0,0.0
2,1.0,0.0
system,1.0,0.0
hugh,1.0,0.0
bowl oitnb,1.0,0.0
about your,0.0,1.0
registry,0.0,1.0
8,1.0,0.0
expresspharmacy,1.0,0.0
exam,0.0,1.0
smokes,1.0,0.0
samanthamyphonesitecom,1.0,0.0
aldis,1.0,0.0
austin,0.0,1.0
dating with,1.0,0.0
reminder,0.0,1.0
frank,1.0,0.0
phil,1.0,0.0
kaplan gre,0.0,1.0
worlds,1.0,0.0
personal,1.0,0.0
southern,0.0,4.0
with beautiful,1.0,0.0
dating,1.0,0.0
and exam,0.0,1.0
tesco,1.0,0.0
yahoo,1.0,0.0
at austin,0.0,1.0
2 chainz,1.0,0.0
localblackmilfs,1.0,0.0
envoy,1.0,0.0
euro million,1.0,0.0
reminder kaplan,0.0,1.0
megan george,1.0,0.0
beautiful,1.0,0.0
phil httpsafeclkscomfoobar,1.0,0.0
chainz smokes,1.0,0.0
r dunhill,1.0,0.0
did suge,1.0,0.0
lottery,1.0,0.0
servicepaypalcom,0.0,1.0
gre your,0.0,1.0
newfckbuddy,1.0,0.0
frank r,1.0,0.0
r,1.0,0.0
course and,0.0,1.0
developer,0.0,2.0
chanda,0.0,1.0
account,1.0,0.0
finance,1.0,0.0
amazoncom,0.0,1.0
texas at,0.0,1.0
kaplan,0.0,1.0
lonely wife,1.0,0.0
free membership,1.0,0.0
online pharmacy,1.0,0.0
miss aldis,1.0,0.0
euro,1.0,0.0
localblackmilfs promopage,1.0,0.0
of texas,0.0,1.0
smokes worlds,1.0,0.0
affairs,1.0,0.0
inc,1.0,0.0
yahoo finance,1.0,0.0
largest bowl,1.0,0.0
bank,1.0,0.0
returns,1.0,0.0
desire system,1.0,0.0
top 8,1.0,0.0
oitnb returns,1.0,0.0
urgent http619be1ll,1.0,0.0
httpsafeclkscomfoobar,1.0,0.0
and,0.0,1.0
protraders inc,1.0,0.0
stubhub orders,0.0,1.0
apple,0.0,2.0
of southern,0.0,4.0
oitnb,1.0,0.0
orders,0.0,1.0
registry of,0.0,1.0
myspace top,1.0,0.0
southern california,0.0,4.0
membership,1.0,0.0
emts,0.0,1.0
texas,0.0,1.0
about,0.0,1.0
national registry,0.0,1.0
knight,1.0,0.0
online,1.0,0.0
your thoughts,0.0,1.0
of emts,0.0,1.0
returns did,1.0,0.0
lonely,1.0,0.0
top,1.0,0.0
bowl,1.0,0.0
with,1.0,0.0
university,0.0,5.0
desire,1.0,0.0
urgent,1.0,0.0
your,0.0,2.0
at,0.0,1.0
promopage,1.0,0.0
the,0.0,1.0
chainz,1.0,0.0
gre,0.0,1.0
george,1.0,0.0
tesco bank,1.0,0.0
million lottery,1.0,0.0
wife,1.0,0.0
protraders,1.0,0.0
http619be1ll,1.0,0.0
miss,1.0,0.0
