Word,SpamMessages,RealMessages
,1.0,0.0
guide,1.0,0.0
reason real,1.0,0.0
reason,1.0,0.0
kaplan reminder,0.0,1.0
chance,1.0,0.0
of,1.0,0.0
serious,1.0,0.0
really trade,2.0,0.0
next is,2.0,0.0
to paid,2.0,0.0
benefits with,1.0,0.0
cant,1.0,0.0
love awful,1.0,0.0
5,0.0,1.0
to guide,1.0,0.0
milfs horny,1.0,0.0
kanyes,1.0,0.0
big,1.0,0.0
reminder,0.0,1.0
you reason,1.0,0.0
tracker document,0.0,1.0
horny,1.0,0.0
next,2.0,0.0
reply urgent,2.0,0.0
crazy level,2.0,0.0
fling new,2.0,0.0
cant you,1.0,0.0
document,0.0,1.0
paid,2.0,0.0
expire to,0.0,1.0
reply,2.0,0.0
tracker,0.0,1.0
left,0.0,1.0
dating,1.0,0.0
a chance,1.0,0.0
level next,2.0,0.0
want,2.0,0.0
get cant,1.0,0.0
with dating,1.0,0.0
expire,0.0,1.0
serious ,1.0,0.0
a,3.0,0.0
atm your,1.0,0.0
sale big,1.0,0.0
to about,0.0,1.0
really,2.0,0.0
new,2.0,0.0
no703519 claims,1.0,0.0
days,0.0,1.0
developer,0.0,1.0
new a,2.0,0.0
ios your,0.0,1.0
laid,1.0,0.0
group kaplan,0.0,1.0
chance last,1.0,0.0
developer ios,0.0,1.0
renew to,0.0,1.0
to,2.333333333333333,0.6666666666666666
kaplan,0.0,1.0
last,1.0,0.0
renew,0.0,1.0
study,0.0,1.0
by,1.0,0.0
step a,1.0,0.0
enterprise to,1.0,0.0
love,1.0,0.0
laid get,1.0,0.0
selfies naked,1.0,0.0
level,2.0,0.0
by step,1.0,0.0
a want,2.0,0.0
membership program,0.0,1.0
card,1.0,0.0
fling,2.0,0.0
claims,1.0,0.0
selfies,1.0,0.0
your renew,0.0,1.0
get,3.0,0.0
ios,0.0,1.0
horny of,1.0,0.0
days 5,0.0,1.0
enterprise,1.0,0.0
sale,1.0,0.0
program,0.0,1.0
song love,1.0,0.0
about is,0.0,1.0
awful kanyes,1.0,0.0
program developer,0.0,1.0
this,2.0,0.0
mobile,1.0,0.0
song,1.0,0.0
step by,1.0,0.0
membership,0.0,1.0
trade,2.0,0.0
about,0.0,1.0
re,3.0,0.0
is membership,0.0,1.0
trade to,2.0,0.0
awful,1.0,0.0
atm,1.0,0.0
super,2.0,0.0
real,1.0,0.0
crazy,2.0,0.0
milfs,1.0,0.0
card atm,1.0,0.0
discounts,2.0,0.0
real the,1.0,0.0
is this,2.0,0.0
discounts super,2.0,0.0
study group,0.0,1.0
your re,1.0,0.0
with,1.0,0.0
is,1.5,0.5
left days,0.0,1.0
urgent,2.0,0.0
your,1.0,1.0
you,1.0,0.0
the,1.0,0.0
dating serious,1.0,0.0
guide step,1.0,0.0
to left,0.0,1.0
no703519,1.0,0.0
membership your,0.0,1.0
naked,1.0,0.0
paid get,2.0,0.0
benefits,1.0,0.0
group,0.0,1.0
step,2.0,0.0
mobile enterprise,1.0,0.0
of selfies,1.0,0.0
